"","Date","Year","SolarDay","Period","State","Site","Exclosure.Control","Rep","Order","Total.Number","Size.Class..5mm","Size.Class..5mm.1","BigFrac","Notes","EXCLUDE"
"1","6/10/2014",2014,171,1,"CT","Barn Island","Control",1,"Amphipoda",53,48,5,0.094339623,"","no"
"2","6/10/2014",2014,171,1,"CT","Barn Island","Control",1,"Amphipoda",57,47,10,0.175438596,"","no"
"3","6/10/2014",2014,171,1,"CT","Barn Island","Control",1,"coleoptera",3,3,0,0,"","no"
"4","6/10/2014",2014,171,1,"CT","Barn Island","Control",1,"coleoptera",2,2,0,0,"","no"
"5","6/10/2014",2014,171,1,"CT","Barn Island","Control",1,"Diptera",2,2,0,0,"","no"
"6","6/10/2014",2014,171,1,"CT","Barn Island","Control",1,"Diptera",3,3,0,0,"","no"
"7","6/10/2014",2014,171,1,"CT","Barn Island","Control",1,"Hemiptera",61,61,0,0,"","no"
"8","6/10/2014",2014,171,1,"CT","Barn Island","Control",1,"Hemiptera",13,10,3,0.230769231,"","no"
"9","6/10/2014",2014,171,1,"CT","Barn Island","Control",1,"Isopoda",2,1,1,0.5,"","no"
"10","6/10/2014",2014,171,1,"CT","Barn Island","Control",1,"Isopoda",19,12,7,0.368421053,"","no"
"11","6/10/2014",2014,171,1,"CT","Barn Island","Control",1,"Orthoptera",3,2,1,0.333333333,"","no"
"12","6/10/2014",2014,171,1,"CT","Barn Island","Control",1,"Orthoptera",3,3,0,0,"","no"
"13","6/10/2014",2014,171,1,"CT","Barn Island","Control",1,"Snail",17,6,7,0.411764706,"","no"
"14","6/10/2014",2014,171,1,"CT","Barn Island","Control",1,"Snail",49,35,14,0.285714286,"","no"
"15","6/10/2014",2014,171,1,"CT","Barn Island","Control",1,"Spider",35,30,5,0.142857143,"","no"
"16","6/10/2014",2014,171,1,"CT","Barn Island","Control",1,"Spider",13,8,5,0.384615385,"","no"
"17","6/10/2014",2014,171,1,"CT","Barn Island","Control",2,"Amphipoda",67,58,9,0.134328358,"","no"
"18","6/10/2014",2014,171,1,"CT","Barn Island","Control",2,"Amphipoda",17,14,3,0.176470588,"","no"
"19","6/10/2014",2014,171,1,"CT","Barn Island","Control",2,"Coleoptera",12,7,5,0.416666667,"","no"
"20","6/10/2014",2014,171,1,"CT","Barn Island","Control",2,"Diptera",2,1,1,0.5,"","no"
"21","6/10/2014",2014,171,1,"CT","Barn Island","Control",2,"Diptera",4,4,0,0,"","no"
"22","6/10/2014",2014,171,1,"CT","Barn Island","Control",2,"Hemiptera",56,56,0,0,"","no"
"23","6/10/2014",2014,171,1,"CT","Barn Island","Control",2,"Hemiptera",14,13,1,0.071428571,"","no"
"24","6/10/2014",2014,171,1,"CT","Barn Island","Control",2,"Hymenoptera",1,0,1,1,"","no"
"25","6/10/2014",2014,171,1,"CT","Barn Island","Control",2,"Hymenoptera",1,0,1,1,"","no"
"26","6/10/2014",2014,171,1,"CT","Barn Island","Control",2,"Isopoda",10,9,1,0.1,"","no"
"27","6/10/2014",2014,171,1,"CT","Barn Island","Control",2,"Snail",67,30,37,0.552238806,"","no"
"28","6/10/2014",2014,171,1,"CT","Barn Island","Control",2,"Snail",69,44,25,0.362318841,"","no"
